date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:26:03	315/315	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2009%20Jul%202023%2021:26:03%20GMT	http://manifesto.clapat.com/robots.txt		(from )
22:26:04	38610/38610	---M--	200	added ('OK')	text/html	date:Mon,%2026%20Jun%202023%2017:54:55%20GMT	http://manifesto.clapat.com/	C:/xampp/htdocs/dgbox/manifesto.clapat.com/index.html	(from )
22:26:04	1150/1150	---M--	200	added ('OK')	image/x-icon	date:Thu,%2009%20Feb%202017%2009:35:22%20GMT	http://manifesto.clapat.com/favicon.ico	C:/xampp/htdocs/dgbox/manifesto.clapat.com/favicon.ico	(from http://manifesto.clapat.com/)
22:26:04	52916/52916	---MC-	200	added ('OK')	text/javascript	date:Mon,%2012%20Jun%202023%2018:23:07%20GMT	https://www.google-analytics.com/analytics.js	C:/xampp/htdocs/dgbox/www.google-analytics.com/analytics.js	(from http://manifesto.clapat.com/)
22:26:06	77773/77773	---M--	200	added ('OK')	text/css	date:Mon,%2026%20Jun%202023%2010:48:20%20GMT	http://manifesto.clapat.com/style.css	C:/xampp/htdocs/dgbox/manifesto.clapat.com/style.css	(from http://manifesto.clapat.com/)
22:26:07	100782/100782	---M--	200	added ('OK')	text/css	date:Tue,%2022%20Mar%202022%2013:08:02%20GMT	http://manifesto.clapat.com/css/all.min.css	C:/xampp/htdocs/dgbox/manifesto.clapat.com/css/all.min.css	(from http://manifesto.clapat.com/)
22:26:08	38610/38610	---M--	200	added ('OK')	text/html	date:Mon,%2026%20Jun%202023%2017:54:55%20GMT	http://manifesto.clapat.com/index.html	C:/xampp/htdocs/dgbox/manifesto.clapat.com/index-2.html	(from http://manifesto.clapat.com/)
22:26:09	3133/3133	---M--	200	added ('OK')	image/png	date:Sat,%2029%20Apr%202023%2014:25:45%20GMT	http://manifesto.clapat.com/images/logo.png	C:/xampp/htdocs/dgbox/manifesto.clapat.com/images/logo.png	(from http://manifesto.clapat.com/)
22:26:10	2950/2950	---M--	200	added ('OK')	image/png	date:Sat,%2029%20Apr%202023%2014:26:37%20GMT	http://manifesto.clapat.com/images/logo-white.png	C:/xampp/htdocs/dgbox/manifesto.clapat.com/images/logo-white.png	(from http://manifesto.clapat.com/)
22:26:10	29151/29151	---M--	200	added ('OK')	text/html	date:Mon,%2026%20Jun%202023%2017:56:01%20GMT	http://manifesto.clapat.com/index-showcase-carousel.html	C:/xampp/htdocs/dgbox/manifesto.clapat.com/index-showcase-carousel.html	(from http://manifesto.clapat.com/)
22:26:10	31789/31789	---M--	200	added ('OK')	text/html	date:Mon,%2026%20Jun%202023%2017:56:23%20GMT	http://manifesto.clapat.com/index-showcase-grid.html	C:/xampp/htdocs/dgbox/manifesto.clapat.com/index-showcase-grid.html	(from http://manifesto.clapat.com/)
